cidade;latitude;longitude
Jardinopolis;-21.0178;-47.7639
Jaguaquara;-13.53;-39.97
Canoinhas;-26.1772;-50.39
Palmeira dos Indios;-9.4166;-36.6166
Salinopolis;-0.6136;-47.3561
Frutal;-20.0247;-48.9406
Chapadinha;-3.7417;-43.3603
Aquidauana;-20.4711;-55.7872
Bom Jesus da Lapa;-13.2495;-43.44
Alta Floresta;-9.9;-55.91
Sao Manuel;-22.7308;-48.5708
Tiete;-23.1019;-47.715
Laguna;-28.48;-48.78
Socorro;-22.5908;-46.5289
Novo Horizonte;-21.4678;-49.2208
Russas;-4.9403;-37.9758
Presidente Venceslau;-21.8761;-51.8439
Palmas;-26.4842;-51.9906
Mineiros;-17.5694;-52.5511
Pinheiro;-2.5196;-45.09
Joacaba;-27.17;-51.5
Promissao;-21.5369;-49.8583
Guariba;-21.36;-48.2283
Pitangueiras;-21.0094;-48.2217
Americo Brasiliense;-21.7361;-48.1114
Remanso;-9.5996;-42.11
Visconde do Rio Branco;-21.0103;-42.8406
Nanuque;-17.8392;-40.3539
Diamantina;-18.24;-43.61
Rosario do Sul;-30.2583;-54.9142
Cristalina;-16.7677;-47.6153
Agudos;-22.4739;-48.9836
Guaira;-24.09;-54.27
Barra Bonita;-22.4947;-48.5581
Sao Francisco do Sul;-26.2433;-48.6381
Acu;-5.5796;-36.9101
Oriximina;-1.7656;-55.8661
Barreiros;-8.8183;-35.1864
Jose Bonifacio;-21.0528;-49.6878
Xique-Xique;-10.8229;-42.7281
Jacarezinho;-23.1606;-49.9694
Adamantina;-21.6847;-51.0733
Itapecuru Mirim;-3.3925;-44.3586
Aguai;-22.0603;-46.9736
Januaria;-15.4886;-44.36
Osorio;-29.8867;-50.2697
Morrinhos;-17.7311;-49.0994
Coroata;-4.13;-44.1242
Cravinhos;-21.3403;-47.7294
Bariri;-22.0744;-48.7403
Ibate;-21.955;-47.9969
Ipero;-23.3503;-47.6886
Canavieiras;-15.675;-38.9472
Descalvado;-21.9039;-47.6189
Sao Miguel Arcanjo;-23.8778;-47.9969
Santa Cruz das Palmeiras;-21.8269;-47.2489
Capitao Poco;-1.7464;-47.0594
Maues;-3.3896;-57.72
Osvaldo Cruz;-21.7967;-50.8786
Guararapes;-21.2608;-50.6428
Cachoeira Paulista;-22.665;-45.0094
Paranaiba;-19.6772;-51.1908
Ilhabela;-23.7778;-45.3578
Bocaiuva;-17.1078;-43.815
Sao Luis Gonzaga;-28.4083;-54.9608
Campo Maior;-4.8278;-42.1686
Jacareacanga;-6.2222;-57.7528
Morro Agudo;-20.7314;-48.0578
Santa Fe do Sul;-20.2108;-50.9258
Aracoiaba da Serra;-23.5053;-47.6142
Barra do Bugres;-15.0725;-57.1811
Barrinha;-21.1936;-48.1639
Tucano;-10.9582;-38.7908
Biritiba Mirim;-23.5728;-46.0389
Candido Mota;-22.7464;-50.3869
Juquitiba;-23.9319;-47.0686
Iguape;-24.7081;-47.5553
Presidente Dutra;-5.29;-44.49
Grajau;-5.8194;-46.1386
Soledade;-28.8178;-52.51
Casa Branca;-21.7739;-47.0858
Iturama;-19.73;-50.2
Rancharia;-22.2289;-50.8928
Igarapava;-20.0383;-47.7469
Piraju;-23.1936;-49.3839
Pontes e Lacerda;-15.2196;-59.35
Almenara;-16.17;-40.7
Mirandopolis;-21.1336;-51.1017
Cajati;-24.7361;-48.1228
Acarau;-2.8896;-40.12
Ubaitaba;-14.3;-39.33
Guararema;-23.415;-46.035
Ico;-6.4;-38.85
Serra Negra;-22.6119;-46.7008
Pilar do Sul;-23.8128;-47.7158
Ipora;-16.45;-51.13
Jaguarao;-32.5658;-53.3758
Santa Cruz;-6.22;-36.03
Santa Vitoria do Palmar;-33.52;-53.37
